date,amps(A),temp(F),dewpoint(F),humidity(%),wind,speed(mph),gust(mph),pressure(in),precip_rate(in),precip_accum(in)
2012-01-01 00:05:00,130.48,-35.7,-44.8,59,North,0,0,29.95,0,0
2012-01-01 00:15:00,176.85,-34.4,-43,61,North,0,1,29.95,0,0
2012-01-01 00:21:00,180.16,-34,-42.6,61,North,0,0,29.95,0,0
2012-01-01 00:30:00,176.67,-34.4,-43.3,60,North,0,0,29.95,0,0
2012-01-01 00:36:00,175.19,-34,-42.6,61,North,0,1,29.95,0,0
2012-01-01 00:45:00,174.14,-34.4,-43.3,60,North,1,2,29.94,0,0
2012-01-01 00:56:00,175.02,-35.3,-44.5,59,North,0,1,29.94,0,0
2012-01-01 01:05:00,171.54,-35.7,-44.8,59,North,1,1,29.94,0,0
2012-01-01 01:15:00,172.69,-35.7,-44.8,59,North,0,0,29.94,0,0
2012-01-01 01:26:00,172.32,-34.4,-43,61,North,1,2,29.94,0,0
2012-01-01 01:35:00,169.36,-33.6,-42.3,61,North,2,2,29.93,0,0
2012-01-01 01:45:00,172.06,-34.4,-43.3,60,North,0,1,29.93,0,0
2012-01-01 01:55:00,172.5,-34.8,-44,59,North,0,0,29.93,0,0
2012-01-01 02:01:00,169.58,-35.3,-44.5,59,North,0,0,29.93,0,0
2012-01-01 02:10:00,166.59,-35.3,-44.5,59,North,0,0,29.93,0,0
2012-01-01 02:16:00,161.55,-35.7,-44.8,59,North,0,0,29.93,0,0
2012-01-01 02:25:00,163.65,-35.3,-44.2,60,North,0,0,29.93,0,0
2012-01-01 02:35:00,162.1,-34.4,-43.3,60,North,2,3,29.93,0,0
2012-01-01 02:45:00,158.35,-32.7,-41.1,62,North,1,1,29.92,0,0
2012-01-01 02:51:00,157.29,-32.7,-41.4,61,North,1,1,29.92,0,0
2012-01-01 03:00:00,162.34,-33.6,-42.3,61,North,0,2,29.92,0,0
2012-01-01 03:06:00,165.33,-33.6,-42.5,60,North,1,2,29.92,0,0
2012-01-01 03:15:00,161.95,-35.3,-44.5,59,North,0,3,29.92,0,0
2012-01-01 03:26:00,158.6,-35.3,-44.2,60,North,1,2,29.92,0,0
2012-01-01 03:35:00,157.45,-35.7,-44.8,59,North,1,3,29.92,0,0
2012-01-01 03:41:00,159.69,-36.1,-45.2,59,North,2,2,29.92,0,0
2012-01-01 03:50:00,155.91,-34,-42.4,62,NNW,3,3,29.91,0,0
2012-01-01 03:56:00,161.93,-32.7,-41.4,61,NNW,3,3,29.91,0,0
2012-01-01 04:05:00,161.77,-36.1,-45.5,58,NNW,3,3,29.91,0,0
2012-01-01 04:15:00,157.99,-35.3,-44.5,59,NNW,2,4,29.9,0,0
2012-01-01 04:26:00,156.56,-35.3,-44.5,59,NNW,1,1,29.9,0,0
2012-01-01 04:35:00,158.51,-34,-42.6,61,NNW,1,1,29.9,0,0
